name	SONIC
	frame	data/chars/Sonic/RunA14.GIF
	frame	data/chars/Sonic/RunA15.GIF
	frame	data/chars/Sonic/RunA16.GIF
		
anim	special
	loop	0
	delay	4
	offset	120 141
	MPcost	40
	Energycost	40
	fastattack	1
	hitflash	Flash2
	subentity	Swind
	custentity	Swind
	summonframe	1 0 9 0 0
	unsummonframe	42
	sound	Data/CHARS/Sonic/BringIt.wav
	frame	data/chars/Sonic/A4-0.gif
	frame	data/chars/Sonic/A4-1.gif
	frame	data/chars/Sonic/A4-2.gif
	frame	data/chars/Sonic/A4-3.gif
	frame	data/chars/Sonic/A4-4.gif
	frame	data/chars/Sonic/A4-5.gif
	frame	data/chars/Sonic/A4-6.gif
	frame	data/chars/Sonic/A4-7.gif
	frame	data/chars/Sonic/A4-8.gif
	frame	data/chars/Sonic/A4-9.gif
	frame	data/chars/Sonic/A4-2.gif
	frame	data/chars/Sonic/A4-3.gif
	frame	data/chars/Sonic/A4-4.gif
	frame	data/chars/Sonic/A4-5.gif
	frame	data/chars/Sonic/A4-6.gif
	frame	data/chars/Sonic/A4-7.gif
	frame	data/chars/Sonic/A4-8.gif
	frame	data/chars/Sonic/A4-9.gif
	frame	data/chars/Sonic/A4-2.gif
	frame	data/chars/Sonic/A4-3.gif
	frame	data/chars/Sonic/A4-4.gif
	frame	data/chars/Sonic/A4-5.gif
	frame	data/chars/Sonic/A4-6.gif
	frame	data/chars/Sonic/A4-7.gif
	frame	data/chars/Sonic/A4-8.gif
	frame	data/chars/Sonic/A4-9.gif
	frame	data/chars/Sonic/A4-2.gif
	frame	data/chars/Sonic/A4-3.gif
	frame	data/chars/Sonic/A4-4.gif
	frame	data/chars/Sonic/A4-5.gif
	frame	data/chars/Sonic/A4-6.gif
	frame	data/chars/Sonic/A4-7.gif
	frame	data/chars/Sonic/A4-8.gif
	frame	data/chars/Sonic/A4-9.gif
	frame	data/chars/Sonic/A4-2.gif
	frame	data/chars/Sonic/A4-3.gif
	frame	data/chars/Sonic/A4-4.gif
	frame	data/chars/Sonic/A4-5.gif
	frame	data/chars/Sonic/A4-6.gif
	frame	data/chars/Sonic/A4-7.gif
	frame	data/chars/Sonic/A4-8.gif
	frame	data/chars/Sonic/A4-9.gif
	frame	data/chars/Sonic/A4-10.gif
	frame	data/chars/Sonic/A4-11.gif
	frame	data/chars/Sonic/A4-12.gif
	frame	data/chars/Sonic/A4-13.gif
	frame	data/chars/Sonic/A4-14.gif
	frame	data/chars/Sonic/A4-15.gif
	frame	data/chars/Sonic/A4-16.gif
	frame	data/chars/Sonic/A4-17.gif
	frame	data/chars/Sonic/A4-18.gif
	frame	data/chars/Sonic/A4-19.gif
	frame	data/chars/Sonic/A4-20.gif
	frame	data/chars/Sonic/A4-21.gif
	frame	data/chars/Sonic/A4-22.gif
		
anim	throw
	loop	0
	delay	5
	offset	120 131
	fastattack	1
	frame	data/chars/Sonic/JA2-3.gif
	attack1	108 96 59 45 5 0 0 0 0 20
	frame	data/chars/Sonic/JA2-2.gif
	attack1	0
	frame	data/chars/Sonic/JA2-1.gif
	attack1	108 96 59 45 5 0 0 0 0 20
	frame	data/chars/Sonic/JA2-0.gif
	attack1	0 0 0 0
	frame	data/chars/Sonic/JA2-3.gif
	attack1	108 96 59 45 5 0 0 0 0 20
	frame	data/chars/Sonic/JA2-2.gif
	attack1	0
	frame	data/chars/Sonic/JA2-1.gif
	attack1	108 96 59 45 5 0 0 0 0 20
	frame	data/chars/Sonic/JA2-0.gif
	attack1	0 0 0 0
	frame	data/chars/Sonic/JA2-3.gif
	attack1	108 96 59 45 5 0 0 0 0 20
	frame	data/chars/Sonic/JA2-2.gif
	attack1	0
	frame	data/chars/Sonic/JA2-1.gif
	attack1	108 96 59 45 5 0 0 0 0 20
	frame	data/chars/Sonic/JA2-0.gif
	attack1	0 0 0 0
	frame	data/chars/Sonic/JA2-3.gif
	attack1	108 96 59 45 5 0 0 0 0 20
	frame	data/chars/Sonic/JA2-2.gif
	attack1	0
	frame	data/chars/Sonic/JA2-1.gif
	attack1	108 96 59 45 10 1 0 0 0 20
	frame	data/chars/Sonic/JA2-0.gif
		
anim	walk
	loop	1
	delay	7
	offset	120 141
	bbox	108 108 24 34
	frame	data/chars/Sonic/Walk0.gif
	@cmd	changeentityproperty getlocalvar("self") "Subject_to_Platform" 1
	frame	data/chars/Sonic/Walk1.gif
	frame	data/chars/Sonic/Walk2.gif
	frame	data/chars/Sonic/Walk3.gif
	frame	data/chars/Sonic/Walk4.gif
	frame	data/chars/Sonic/Walk5.gif
	frame	data/chars/Sonic/Walk6.gif
		
#|edited by openBor Stats v 0.53
		
