name	Spiderman_E
	frame	data/chars/Spiderman/Spiderman11120017.gif
	blast	23 135 120 35 12 0 0 45
	frame	data/chars/Spiderman/Spiderman11120018.gif
	blast	26 129 107 35 12 0 0 45
	frame	data/chars/Spiderman/Spiderman11120019.gif
	blast	22 131 108 35 12 0 0 45
	frame	data/chars/Spiderman/Spiderman11120020.gif
		
anim	runjumpattack
	loop	0
	delay	6
	offset	84 67
	bbox	43 16 32 36
	blast	38 43 128 36 13
	hitfx	data/chars/rogue/hit.wav
	cancel	1 7 1 U freespecial3
	frame	data/chars/Spiderman/Spiderman15020000.gif
	frame	data/chars/Spiderman/Spiderman15020000.gif
	frame	data/chars/Spiderman/Spiderman15020000.gif
	frame	data/chars/Spiderman/Spiderman15020000.gif
	frame	data/chars/Spiderman/Spiderman15020000.gif
	frame	data/chars/Spiderman/Spiderman15020000.gif
	frame	data/chars/Spiderman/Spiderman15020000.gif
		
anim	select
	loop	0
	delay	8
	offset	48 107
	sound	data/chars/Spiderman/comeon.wav
	Attack1	0
	frame	Data/CHARS/spiderman/sel1.gif
	frame	Data/CHARS/spiderman/sel2.gif
	frame	Data/CHARS/spiderman/sel3.gif
	frame	Data/CHARS/spiderman/sel4.gif
	frame	Data/CHARS/spiderman/sel5.gif
		
anim	special
	blast	44 89 40 32 12 0 0 45
	loop	0
	delay	4
	offset	74 178
	bbox	17 60 13 39
	hitfx	data/sounds/bukk.wav
	hitflash	flash
	@cmd	leaper 8 0 0
	cancel	1 18 0 U freespecial21
	cancel	1 18 0 D freespecial22
	frame	data/chars/Spiderman/Spiderman11120003.gif
	blast	34 97 66 46 12 0 0 45
	offset	78 189
	frame	data/chars/Spiderman/Spiderman11120004.gif
	blast	40 117 41 31 12 0 0 45
	offset	87 207
	bbox	15 98 14 31
	frame	data/chars/Spiderman/Spiderman11120005.gif
	blast	38 88 42 41 12 0 0 45
	offset	85 185
	bbox	15 74 29 40
	frame	data/chars/Spiderman/Spiderman11120006.gif
	blast	35 90 48 42 12 0 0 45
	offset	87 189
	frame	data/chars/Spiderman/Spiderman11120007.gif
	blast	28 101 105 35 12 0 0 45
	frame	data/chars/Spiderman/Spiderman11120008.gif
	blast	27 107 106 35 12 0 0 45
	offset	83 195
	frame	data/chars/Spiderman/Spiderman11120009.gif
	blast	26 114 109 32 12 0 0 45
	offset	79 200
	frame	data/chars/Spiderman/Spiderman11120010.gif
	blast	20 119 118 38 12 0 0 45
	offset	79 209
	bbox	12 119 19 24
	frame	data/chars/Spiderman/Spiderman11120011.gif
	blast	24 124 115 36 12 0 0 45
	offset	79 215
	bbox	1 106 33 41
	frame	data/chars/Spiderman/Spiderman11120012.gif
	blast	16 129 120 32 12 0 0 45
	bbox	11 111 23 32
	frame	data/chars/Spiderman/Spiderman11120013.gif
	blast	18 133 115 33 12 0 0 45
	offset	79 218
	frame	data/chars/Spiderman/Spiderman11120014.gif
	blast	17 135 115 27 12 0 0 45
	offset	74 218
	bbox	18 113 24 39 12 0 0 45
	frame	data/chars/Spiderman/Spiderman11120015.gif
	blast	23 131 109 37 12 0 0 45
	frame	data/chars/Spiderman/Spiderman11120016.gif
	blast	18 136 113 35 12 0 0 45
	frame	data/chars/Spiderman/Spiderman11120017.gif
	blast	23 135 120 35 12 0 0 45
	frame	data/chars/Spiderman/Spiderman11120018.gif
	blast	26 129 107 35 12 0 0 45
	frame	data/chars/Spiderman/Spiderman11120019.gif
	blast	22 131 108 35 12 0 0 45
	frame	data/chars/Spiderman/Spiderman11120020.gif
		
anim	waiting
	loop	0
	delay	8
	offset	48 107
	frame	Data/CHARS/spiderman/w1.gif
		
anim	walk
	loop	1
	delay	6
	offset	44 83
	bbox	37 24 23 26
	frame	data/chars/Spiderman/walk.gif
	offset	44 84
	frame	data/chars/Spiderman/walk1.gif
	offset	35 85
	frame	data/chars/Spiderman/walk2.gif
	offset	24 84
	frame	data/chars/Spiderman/walk3.gif
	frame	data/chars/Spiderman/walk4.gif
	frame	data/chars/Spiderman/walk5.gif
	offset	32 82
	frame	data/chars/Spiderman/walk6.gif
	offset	27 82
	frame	data/chars/Spiderman/walk7.gif
	offset	19 82
	frame	data/chars/Spiderman/walk8.gif
	offset	23 81
	frame	data/chars/Spiderman/walk9.gif
	frame	data/chars/Spiderman/walk10.gif
	offset	38 81
	frame	data/chars/Spiderman/walk11.gif
		
#|edited by openBor Stats v 0.49
		
