name				vampire
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/misc/freeze/103.gif
	delay   4
	frame	data/chars/vampire/pain101.gif
	delay   3
	frame	data/chars/misc/freeze/103.gif
	delay   3
	frame	data/chars/vampire/pain101.gif
	delay   4
	frame	data/chars/misc/freeze/103.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   5
	frame	data/chars/misc/freeze/103.gif
	delay   1
	frame	data/chars/vampire/pain101.gif

	delay   50
	frame	data/chars/misc/freeze/103.gif

	delay   5
	frame	data/chars/misc/freeze/103.gif
	delay   1
	frame	data/chars/vampire/pain101.gif
	delay   4
	frame	data/chars/misc/freeze/103.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   3
	frame	data/chars/misc/freeze/103.gif
	delay   3
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/misc/freeze/103.gif
	delay   4
	frame	data/chars/vampire/pain101.gif
	delay   1
	frame	data/chars/misc/freeze/103.gif
	delay   5
	frame	data/chars/vampire/pain101.gif
	bbox		0 0 0 0
	frame	data/chars/vampire/fall02.gif
	frame	data/chars/vampire/fall02.gif
	delay   70
	frame	data/chars/vampire/rise00.gif
	delay	10
	frame	data/chars/vampire/rise01.gif
	delay	8
	frame	data/chars/vampire/jdel00.gif

anim fall5
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	subentity	dust01
	spawnframe	11 0 0 0 0
	jumpframe	0 1 -1
	landframe	11
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   1
	frame	data/chars/misc/freeze/103.gif
	delay   5
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/misc/freeze/103.gif
	delay   4
	frame	data/chars/vampire/pain101.gif
	delay   3
	frame	data/chars/misc/freeze/103.gif
	delay   3
	frame	data/chars/vampire/pain101.gif
	delay   4
	frame	data/chars/misc/freeze/103.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   5
	frame	data/chars/misc/freeze/103.gif
	delay   1
	frame	data/chars/vampire/pain101.gif

	delay   999
	frame	data/chars/misc/freeze/103.gif
	delay   1
	frame	data/chars/misc/freeze/103.gif

anim rise5
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198

	bbox		212 143 30 55
	delay   50
	frame	data/chars/misc/freeze/103.gif
	delay   5
	frame	data/chars/misc/freeze/103.gif
	delay   1
	frame	data/chars/vampire/pain101.gif
	delay   4
	frame	data/chars/misc/freeze/103.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   3
	frame	data/chars/misc/freeze/103.gif
	delay   3
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/misc/freeze/103.gif
	delay   4
	frame	data/chars/vampire/pain101.gif
	delay   1
	frame	data/chars/misc/freeze/103.gif
	delay   5
	frame	data/chars/vampire/pain101.gif
	bbox		0 0 0 0
	frame	data/chars/vampire/fall01.gif
	frame	data/chars/vampire/fall02.gif
	delay   70
	frame	data/chars/vampire/rise00.gif
	delay	10
	frame	data/chars/vampire/rise01.gif
	delay	8
	frame	data/chars/vampire/rise02.gif
	frame	data/chars/vampire/rise03.gif

	
anim death5
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198

	delay   50
	frame	data/chars/misc/freeze/103.gif
	delay   5
	frame	data/chars/misc/freeze/103.gif
	delay   1
	frame	data/chars/misc/empty.gif
	delay   4
	frame	data/chars/misc/freeze/103.gif
	delay   2
	frame	data/chars/misc/empty.gif
	delay   3
	frame	data/chars/misc/freeze/103.gif
	delay   3
	frame	data/chars/misc/empty.gif
	delay   2
	frame	data/chars/misc/freeze/103.gif
	delay   4
	frame	data/chars/misc/empty.gif
	delay   1
	frame	data/chars/misc/freeze/103.gif
	delay   5
	frame	data/chars/misc/empty.gif

#----------------------------------------FREEZE ATTACK----------------------------------------;


#----------------------------------------POLYMORPH ATTACK----------------------------------------;

anim pain6
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   1
	frame	data/chars/misc/poly/frog01.gif
	delay   5
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/misc/poly/frog01.gif
	delay   4
	frame	data/chars/vampire/pain101.gif
	delay   3
	frame	data/chars/misc/poly/frog01.gif
	delay   3
	frame	data/chars/vampire/pain101.gif
	delay   4
	frame	data/chars/misc/poly/frog01.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   5
	frame	data/chars/misc/poly/frog01.gif
	delay   1
	frame	data/chars/vampire/pain101.gif

	delay   8
	frame	data/chars/misc/poly/frog01.gif
	frame	data/chars/misc/poly/frog02.gif
	frame	data/chars/misc/poly/frog03.gif
	frame	data/chars/misc/poly/frog04.gif
	frame	data/chars/misc/poly/frog05.gif
	frame	data/chars/misc/poly/frog06.gif
	frame	data/chars/misc/poly/frog07.gif
	delay   200
	frame	data/chars/misc/poly/frog08.gif

	delay   5
	frame	data/chars/misc/poly/frog08.gif
	delay   1
	frame	data/chars/vampire/pain101.gif
	delay   4
	frame	data/chars/misc/poly/frog08.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   3
	frame	data/chars/misc/poly/frog08.gif
	delay   3
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/misc/poly/frog08.gif
	delay   4
	frame	data/chars/vampire/pain101.gif
	delay   1
	frame	data/chars/misc/poly/frog08.gif
	delay   5
	frame	data/chars/vampire/pain101.gif

anim fall6
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	subentity	dust01
	spawnframe	11 0 0 0 0
	jumpframe	0 1 -1
	landframe	11
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   1
	frame	data/chars/misc/poly/frog05.gif
	delay   5
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/misc/poly/frog05.gif
	delay   4
	frame	data/chars/vampire/pain101.gif
	delay   3
	frame	data/chars/misc/poly/frog05.gif
	delay   3
	frame	data/chars/vampire/pain101.gif
	delay   4
	frame	data/chars/misc/poly/frog05.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   5
	frame	data/chars/misc/poly/frog05.gif
	delay   1
	frame	data/chars/vampire/pain101.gif

	delay   999
	frame	data/chars/misc/poly/frog05.gif
	delay   8
	frame	data/chars/misc/poly/frog06.gif
	frame	data/chars/misc/poly/frog07.gif
	delay   200
	frame	data/chars/misc/poly/frog08.gif

anim rise6
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198

	bbox		212 143 30 55
	delay   200
	frame	data/chars/misc/poly/frog08.gif
	delay   5
	frame	data/chars/misc/poly/frog08.gif
	delay   1
	frame	data/chars/vampire/pain101.gif
	delay   4
	frame	data/chars/misc/poly/frog08.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   3
	frame	data/chars/misc/poly/frog08.gif
	delay   3
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/misc/poly/frog08.gif
	delay   4
	frame	data/chars/vampire/pain101.gif
	delay   1
	frame	data/chars/misc/poly/frog08.gif
	delay   5
	frame	data/chars/vampire/pain101.gif
	bbox		0 0 0 0
	frame	data/chars/vampire/fall01.gif
	frame	data/chars/vampire/fall02.gif
	delay   70
	frame	data/chars/vampire/rise00.gif
	delay	10
	frame	data/chars/vampire/rise01.gif
	delay	8
	frame	data/chars/vampire/rise02.gif
	frame	data/chars/vampire/rise03.gif

anim death6
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198

	delay   200
	frame	data/chars/misc/poly/frog08.gif
	delay   5
	frame	data/chars/misc/poly/frog08.gif
	delay   1
	frame	data/chars/misc/empty.gif
	delay   4
	frame	data/chars/misc/poly/frog08.gif
	delay   2
	frame	data/chars/misc/empty.gif
	delay   3
	frame	data/chars/misc/poly/frog08.gif
	delay   3
	frame	data/chars/misc/empty.gif
	delay   2
	frame	data/chars/misc/poly/frog08.gif
	delay   4
	frame	data/chars/misc/empty.gif
	delay   1
	frame	data/chars/misc/poly/frog08.gif
	delay   5
	frame	data/chars/misc/empty.gif

#----------------------------------------POLYMORPH ATTACK----------------------------------------;



#----------------------------------------TORNADO ATTACK----------------------------------------;

anim pain7
	shadowcoords 215 200
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   6
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	
	

anim fall7
	drawmethod	200 200
	shadowcoords 215 200
	jumpframe	0 6 0
	landframe	80

	loop	0
	offset     225 198
	bbox		212 143 30 55
	
	delay   6
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 0 0 0 -1
	frame	data/chars/vampire/pain101.gif


	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 0 1 0 0 -1
	frame	data/chars/vampire/pain101.gif
	drawmethod	200 200 1 1 0 0 -1
	frame	data/chars/vampire/pain101.gif

	delay	65
	bbox		0 0 0 0
	sound   data/sounds/fall02.wav
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/vampire/fall02.gif
	delay	40
	frame	data/chars/vampire/rise00.gif

	
anim rise7
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/vampire/rise01.gif
	frame	data/chars/vampire/rise02.gif
	frame	data/chars/vampire/rise03.gif

anim death7
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/vampire/rise01.gif
	frame	data/chars/vampire/rise02.gif
	frame	data/chars/vampire/rise03.gif

	delay	50
	frame	data/chars/vampire/death00.gif
	
	delay	4
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif

	delay	50
	frame	data/chars/vampire/death01.gif
		
	delay	8
	frame	data/chars/vampire/death02.gif
	frame	data/chars/vampire/death03.gif
	frame	data/chars/vampire/death04.gif
	frame	data/chars/vampire/death05.gif


#----------------------------------------POLYMORPH ATTACK----------------------------------------;


#----------------------------------------HOLD PERSON ATTACK----------------------------------------;

anim pain8
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	load		hold
	subentity	hold
	spawnframe	0 0 0 0 0
	loop	0
	offset     225 198
	bbox		212 143 30 55

	delay   2
	offset     228 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     222 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     228 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     222 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     228 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     222 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif

	delay   210
	frame	data/chars/vampire/pain101.gif

anim fall8
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	load		hold
	subentity	hold
	spawnframe	0 0 0 0 0
	jumpframe	0 0.5 0
	landframe	12
	loop	0
	offset     225 198
	bbox		212 143 30 55


	delay   2
	offset     228 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     222 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     228 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     222 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     228 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     222 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	delay   999
	frame	data/chars/vampire/pain101.gif
	
	delay   210
	frame	data/chars/vampire/pain101.gif

anim rise8
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198
	bbox		212 143 30 55
	delay   260
	frame	data/chars/vampire/pain101.gif
	bbox		0 0 0 0
	delay   5
	frame	data/chars/vampire/fall01.gif
	frame	data/chars/vampire/fall02.gif
	delay   70
	frame	data/chars/vampire/rise00.gif
	delay	10
	frame	data/chars/vampire/rise01.gif
	delay	8
	frame	data/chars/vampire/rise02.gif
	frame	data/chars/vampire/rise03.gif


anim death8
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	offset     225 198
	delay   260
	frame	data/chars/vampire/pain101.gif
	delay   5
	frame	data/chars/vampire/fall01.gif
	frame	data/chars/vampire/fall02.gif
	frame	data/chars/vampire/rise00.gif

	delay	12
	frame	data/chars/vampire/rise01.gif
	frame	data/chars/vampire/rise02.gif
	frame	data/chars/vampire/rise03.gif

	delay	50
	frame	data/chars/vampire/death00.gif
	
	delay	4
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif

	delay	50
	frame	data/chars/vampire/death01.gif
		
	delay	8
	frame	data/chars/vampire/death02.gif
	frame	data/chars/vampire/death03.gif
	frame	data/chars/vampire/death04.gif
	frame	data/chars/vampire/death05.gif


#----------------------------------------HOLD PERSON ATTACK----------------------------------------;







